22:47:38.461 [background-preinit] INFO  o.h.validator.internal.util.Version - HV000001: Hibernate Validator 8.0.1.Final
22:47:38.535 [main] INFO  c.e.Blog_model.BlogModelApplication - Starting BlogModelApplication using Java 20.0.1 with PID 11104 (D:\IT\1.java\4.spring\1. practicefindjob\3,Blog_model\Blog_model\target\classes started by Dell in D:\IT\1.java\4.spring\1. practicefindjob\3,Blog_model\Blog_model)
22:47:38.536 [main] INFO  c.e.Blog_model.BlogModelApplication - No active profile set, falling back to 1 default profile: "default"
22:47:41.030 [main] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Bootstrapping Spring Data JPA repositories in DEFAULT mode.
22:47:41.263 [main] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Finished Spring Data repository scanning in 205 ms. Found 5 JPA repository interfaces.
22:47:42.340 [main] INFO  o.s.b.w.e.tomcat.TomcatWebServer - Tomcat initialized with port 8080 (http)
22:47:42.355 [main] INFO  o.a.coyote.http11.Http11NioProtocol - Initializing ProtocolHandler ["http-nio-8080"]
22:47:42.359 [main] INFO  o.a.catalina.core.StandardService - Starting service [Tomcat]
22:47:42.359 [main] INFO  o.a.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/10.1.24]
22:47:42.466 [main] INFO  o.a.c.c.C.[Tomcat].[localhost].[/] - Initializing Spring embedded WebApplicationContext
22:47:42.467 [main] INFO  o.s.b.w.s.c.ServletWebServerApplicationContext - Root WebApplicationContext: initialization completed in 3862 ms
22:47:42.701 [main] INFO  o.h.jpa.internal.util.LogHelper - HHH000204: Processing PersistenceUnitInfo [name: default]
22:47:42.808 [main] INFO  org.hibernate.Version - HHH000412: Hibernate ORM core version 6.5.2.Final
22:47:42.862 [main] INFO  o.h.c.i.RegionFactoryInitiator - HHH000026: Second-level cache disabled
22:47:43.302 [main] INFO  o.s.o.j.p.SpringPersistenceUnitInfo - No LoadTimeWeaver setup: ignoring JPA class transformer
22:47:43.351 [main] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Starting...
22:47:43.816 [main] INFO  com.zaxxer.hikari.pool.HikariPool - HikariPool-1 - Added connection com.mysql.cj.jdbc.ConnectionImpl@1cdd31a4
22:47:43.818 [main] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Start completed.
22:47:45.361 [main] INFO  o.h.e.t.j.p.i.JtaPlatformInitiator - HHH000489: No JTA platform available (set 'hibernate.transaction.jta.platform' to enable JTA platform integration)
22:47:45.466 [main] INFO  o.s.o.j.LocalContainerEntityManagerFactoryBean - Initialized JPA EntityManagerFactory for persistence unit 'default'
22:47:46.007 [main] WARN  o.s.b.a.o.j.JpaBaseConfiguration$JpaWebConfiguration - spring.jpa.open-in-view is enabled by default. Therefore, database queries may be performed during view rendering. Explicitly configure spring.jpa.open-in-view to disable this warning
22:47:46.410 [main] INFO  o.s.s.c.a.a.c.InitializeUserDetailsBeanManagerConfigurer$InitializeUserDetailsManagerConfigurer - Global AuthenticationManager configured with UserDetailsService bean with name customUserDetailsService
22:47:47.850 [main] INFO  o.s.s.web.DefaultSecurityFilterChain - Will secure any request with [org.springframework.security.web.session.DisableEncodeUrlFilter@5c6ee543, org.springframework.security.web.context.request.async.WebAsyncManagerIntegrationFilter@7594d189, org.springframework.security.web.context.SecurityContextHolderFilter@aeb8ee2, org.springframework.security.web.header.HeaderWriterFilter@6c09d716, org.springframework.web.filter.CorsFilter@1418a1bd, org.springframework.security.web.authentication.logout.LogoutFilter@638b05fb, com.example.Blog_model.jwt.JwtFilter@7053a864, org.springframework.security.web.savedrequest.RequestCacheAwareFilter@3c592c0c, org.springframework.security.web.servletapi.SecurityContextHolderAwareRequestFilter@5d414943, org.springframework.security.web.authentication.AnonymousAuthenticationFilter@49e54217, org.springframework.security.web.session.SessionManagementFilter@996293a, org.springframework.security.web.access.ExceptionTranslationFilter@637de489, org.springframework.security.web.access.intercept.AuthorizationFilter@38f2342b]
22:47:48.210 [main] INFO  o.a.coyote.http11.Http11NioProtocol - Starting ProtocolHandler ["http-nio-8080"]
22:47:48.243 [main] INFO  o.s.b.w.e.tomcat.TomcatWebServer - Tomcat started on port 8080 (http) with context path '/'
22:47:48.273 [main] INFO  c.e.Blog_model.BlogModelApplication - Started BlogModelApplication in 10.271 seconds (process running for 11.493)
22:47:57.330 [http-nio-8080-exec-1] INFO  o.a.c.c.C.[Tomcat].[localhost].[/] - Initializing Spring DispatcherServlet 'dispatcherServlet'
22:47:57.330 [http-nio-8080-exec-1] INFO  o.s.web.servlet.DispatcherServlet - Initializing Servlet 'dispatcherServlet'
22:47:57.333 [http-nio-8080-exec-1] INFO  o.s.web.servlet.DispatcherServlet - Completed initialization in 3 ms
22:52:25.883 [SpringApplicationShutdownHook] INFO  o.s.o.j.LocalContainerEntityManagerFactoryBean - Closing JPA EntityManagerFactory for persistence unit 'default'
22:52:25.892 [SpringApplicationShutdownHook] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Shutdown initiated...
22:52:25.908 [SpringApplicationShutdownHook] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Shutdown completed.
